Messung;Jahr;Monat;Tag;Longitude;Latitud;Height;Stunde_Gerät;Minute_Gerät;Sekunde_Gerät;SENSORDATA;Sensor1_T;Sensor1_LF;Sensor2_T;Sensor2_LF;Sensor3_T;Sensor3_LF;Sensor4_T;Sensor4_LF;Distanz_Nachbar;Distanz_Runsum;Height_GIS1
1;2024;12;12;7.43708;46.95168;575.3;11;50;12;SENSORDATA;1.42;70.26;1.62;71.54;1.32;71.06;1.27;72.42;0;0;561.4699731
2;2024;12;12;7.43708;46.95168;575.1;11;50;13;SENSORDATA;1.37;70.28;1.61;71.5;1.36;71.04;1.25;72.43;0;0;561.4699731
3;2024;12;12;7.43708;46.95168;575;11;50;14;SENSORDATA;1.41;70.33;1.64;71.57;1.32;71.02;1.24;72.34;0;0;561.4699731
4;2024;12;12;7.43708;46.95168;574.9;11;50;15;SENSORDATA;1.38;70.35;1.58;71.57;1.33;71.05;1.31;72.42;0;0;561.4699731
5;2024;12;12;7.43709;46.95168;574.7;11;50;16;SENSORDATA;1.37;70.42;1.6;71.65;1.32;71.03;1.28;72.39;0.761153009;0.761153009;561.4699927
6;2024;12;12;7.43709;46.95168;574.7;11;50;18;SENSORDATA;1.42;70.39;1.62;71.61;1.32;70.99;1.27;72.34;0;0.761153009;561.4699927
7;2024;12;12;7.43709;46.95168;574.6;11;50;19;SENSORDATA;1.38;70.42;1.61;71.69;1.29;70.93;1.25;72.29;0;0.761153009;561.4699927
8;2024;12;12;7.43709;46.95168;574.5;11;50;20;SENSORDATA;1.38;70.42;1.64;71.7;1.39;71;1.27;72.32;0;0.761153009;561.4699927
9;2024;12;12;7.43709;46.95168;574.4;11;50;21;SENSORDATA;1.35;70.48;1.65;71.66;1.34;70.95;1.29;72.35;0;0.761153009;561.4699927
10;2024;12;12;7.4371;46.95168;574.3;11;50;23;SENSORDATA;1.44;70.55;1.6;71.68;1.36;70.94;1.27;72.31;0.761153009;1.522306018;561.460022
11;2024;12;12;7.4371;46.95168;574.3;11;50;24;SENSORDATA;1.35;70.52;1.62;71.69;1.33;71.02;1.29;72.28;0;1.522306018;561.460022
12;2024;12;12;7.4371;46.95168;574.2;11;50;25;SENSORDATA;1.47;70.57;1.62;71.77;1.33;70.95;1.29;72.22;0;1.522306018;561.460022
13;2024;12;12;7.4371;46.95168;574.2;11;50;26;SENSORDATA;1.44;70.67;1.61;71.83;1.34;71;1.32;72.22;0;1.522306018;561.460022
14;2024;12;12;7.4371;46.95168;574.1;11;50;27;SENSORDATA;1.39;70.71;1.62;71.89;1.29;71;1.31;72.18;0;1.522306018;561.460022
15;2024;12;12;7.4371;46.95168;574.1;11;50;29;SENSORDATA;1.39;70.76;1.57;71.93;1.33;71.02;1.29;72.25;0;1.522306018;561.460022
16;2024;12;12;7.4371;46.95168;574;11;50;30;SENSORDATA;1.39;70.75;1.65;72.05;1.34;71.01;1.27;72.18;0;1.522306018;561.460022
17;2024;12;12;7.43711;46.95168;574;11;50;31;SENSORDATA;1.44;70.82;1.6;71.99;1.33;70.99;1.29;72.19;0.761153009;2.283459027;561.4500122
18;2024;12;12;7.43711;46.95168;574;11;50;32;SENSORDATA;1.37;70.82;1.64;72.02;1.33;70.98;1.31;72.14;0;2.283459027;561.4500122
19;2024;12;12;7.43711;46.95168;574;11;50;33;SENSORDATA;1.42;70.76;1.61;72.03;1.34;70.97;1.28;72.18;0;2.283459027;561.4500122
20;2024;12;12;7.43711;46.95168;574.1;11;50;35;SENSORDATA;1.41;70.82;1.65;71.94;1.34;70.95;1.27;72.16;0;2.283459027;561.4500122
21;2024;12;12;7.43711;46.95168;574.1;11;50;36;SENSORDATA;1.44;70.74;1.6;71.9;1.37;70.9;1.25;72.19;0;2.283459027;561.4500122
22;2024;12;12;7.43711;46.95168;574.2;11;50;37;SENSORDATA;1.38;70.69;1.62;71.92;1.32;70.9;1.31;72.21;0;2.283459027;561.4500122
23;2024;12;12;7.43711;46.95168;574.3;11;50;38;SENSORDATA;1.38;70.71;1.58;71.91;1.34;70.91;1.27;72.27;0;2.283459027;561.4500122
